step,Cov_batch_ik_00_emb
49,0.017771217972040176
99,0.014513349160552025
149,0.008585993200540543
199,0.008840340189635754
249,0.007109384518116713
299,0.019905870780348778
349,0.01161576621234417
399,0.005311894230544567
449,0.012908904813230038
499,0.006896942853927612
549,0.006165883503854275
599,0.004342601168900728
649,0.00303453765809536
699,0.002635332988575101
749,0.003979709465056658
799,0.001981266774237156
849,0.0014521367847919464
899,0.0015448721824213862
949,0.0016244808211922646
999,0.0018044156022369862
1049,0.0008186897612176836
1099,0.0006363886059261858
1149,0.000684961851220578
1199,0.0004152252513449639
1249,0.0005509742768481374
1299,0.00044935819460079074
1349,0.0004700074205175042
1399,0.000476913497550413
1449,0.000358361576218158
1499,0.0005048098391853273
1549,0.0002648932859301567
1599,0.0002128381165675819
1649,0.00021812538034282625
1699,0.0001788585213944316
1749,0.0001403126516379416
1799,0.00014100635598879308
1849,0.00017538483371026814
1899,0.00015790623729117215
1949,9.8413773230277e-05
1999,0.00012713766773231328
2049,9.3627160822507e-05
2099,0.00010727777407737449
2149,6.422754086088389e-05
2199,5.1079969125567004e-05
2249,9.002110891742632e-05
2299,7.535157055826858e-05
2349,4.6395180106628686e-05
2399,4.3384374293964356e-05
2449,5.7405348343309015e-05
2499,3.1108233088161796e-05
2549,3.0063059966778383e-05
2599,1.760441045917105e-05
2649,1.7622973246034235e-05
2699,2.498348112567328e-05
2749,1.4559185729012825e-05
2799,1.825253821152728e-05
2849,1.2875839274784084e-05
2899,1.5703724784543738e-05
2949,1.4450663002207875e-05
2999,1.3112503438605927e-05
3049,1.565574530104641e-05
3099,1.3856416444468778e-05
3149,7.232152711367235e-06
3199,6.827637662354391e-06
3249,7.6381156759453e-06
3299,6.75415139994584e-06
3349,3.5387181469559437e-06
3399,7.692848157603294e-06
3449,4.201958290650509e-06
3499,2.7226863039686577e-06
3549,6.256318101804936e-06
3599,2.869782747438876e-06
3649,2.575307462393539e-06
3699,1.856625658547273e-06
3749,1.8736274114417029e-06
3799,1.4257846032705856e-06
3849,1.5257694485626416e-06
3899,4.307084509491688e-06
3949,1.275525050914439e-06
3999,9.362918831357092e-07
4049,2.2034887479094323e-06
4099,8.22500965114159e-07
4149,6.346767236209416e-07
4199,6.164996761981456e-07
4249,8.874100672073837e-07
4299,6.92674063884624e-07
4349,4.455542352843622e-07
4399,5.993042577756569e-07
4449,2.2239819941205496e-07
4499,4.829531690120348e-07
4549,2.1097235958222882e-07
4599,2.9517735811168677e-07
4649,1.696139122486784e-07
4699,2.6122600615963165e-07
4749,2.467072022227512e-07
4799,1.9509003834627947e-07
4849,8.811177565348771e-08
4899,1.8591239836496243e-07
4949,1.213461047200326e-07
4999,1.000529152861418e-07
5049,1.1561069612753272e-07
5099,1.1419974299542446e-07
5149,7.94354093613947e-08
5199,3.762912470506308e-08
5249,4.697973920997356e-08
5299,5.320807971997965e-08
5349,4.684334697913073e-08
5399,3.43995445462042e-08
5449,3.3999434378984006e-08
5499,2.4785181906850084e-08
5549,1.554522555125004e-08
5599,1.6515359746449576e-08
5649,1.5035812594987874e-08
5699,1.1662260490652443e-08
5749,1.1675913569320073e-08
5799,5.186447715743725e-09
5849,1.024263518445423e-08
5899,5.656824786370862e-09
5949,3.720776353688393e-09
5999,3.5606526616049905e-09
6049,5.811128023225365e-09
6099,2.083503369831874e-09
6149,2.3297237472519328e-09
6199,1.6862073959345025e-09
6249,1.367861268697368e-09
6299,5.590599649885064e-10
6349,3.076596311046842e-09
6399,1.2570617879958945e-09
6449,8.362098236069926e-10
6499,4.872175995984662e-10
6549,7.965783033192508e-10
6599,5.158837801388927e-10
6649,3.152252348037621e-10
6699,2.537897669796507e-10
6749,6.454364265273682e-10
6799,3.5712796608855513e-10
6849,1.2599710164096223e-10
6899,9.12030242994355e-11
6949,5.6274835485981e-11
6999,7.975119176162337e-11
7049,9.671949352529907e-11
7099,6.812847508363973e-11
7149,5.298765939909522e-11
7199,2.9912069349213866e-11
7249,2.3709232493951404e-11
7299,2.1508128611458233e-11
7349,2.5142041226722256e-11
7399,1.4448408615364006e-11
7449,1.2091214314502441e-11
7499,1.692325446445153e-11
7549,1.2879262760445709e-11
7599,1.1973069237447564e-11
7649,2.8603694066098306e-11
7699,1.0667081801196687e-11
7749,1.2040923813572135e-11
7799,1.5809241069031366e-11
7849,7.170724951321983e-12
7899,5.506906129021383e-12
7949,4.5445379230624194e-12
7999,5.857782141294177e-12
8049,3.95247896911588e-12
8099,4.003777778066597e-12
8149,5.5421548426914935e-12
8199,3.94898653707787e-12
8249,2.7517942351867886e-12
8299,2.751212018620164e-12
8349,6.0978813144763055e-12
8399,4.3184991173339515e-12
8449,2.890766619134677e-12
8499,3.111727889248961e-12
8549,2.862301324776939e-12
8599,2.6929704126377185e-12
8649,2.1899834376504224e-12
8699,4.2850670928240575e-12
8749,2.7827629523607955e-12
8799,3.523058364138243e-12
8849,2.4165391909747314e-12
8899,2.748554639095402e-12
8949,1.6784053530685683e-12
8999,5.035729212093942e-12
9049,2.001484264782527e-12
9099,4.443625589017897e-12
9149,3.6320074552065318e-12
9199,1.9881472770183484e-12
9249,1.826402527480009e-12
9299,1.3550728464664652e-12
9349,1.1375499067017847e-12
9399,8.543764654089792e-13
9449,2.7478451371937274e-12
9499,1.5950641415324318e-12
9549,8.718863304946201e-13
9599,2.9679271193461254e-12
9649,9.649991309507167e-13
9699,1.8274327363843046e-12
9749,2.141055778850931e-12
