dir_name,ckpt_path,config_path,log_path,linear_top1_accuracy,linear_top3_accuracy,linear_top1_average_accuracy,linear_knn_top1_accuracy
UA_mdSimSiam_Aug1_VMmean_n_ep50_BA128_v4,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug1_VMmean_n_ep50_BA128_v4\checkpoints-epoch=49-train_loss=-0.89.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug1_VMmean_n_ep50_BA128_v4\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug1_VMmean_n_ep50_BA128_v4\UA_mdSimSiam_Aug1_VMmean_n_ep50_BA128_v4.csv,0.7116441779110445,0.9325337331334332,0.7118624686153648,0.6981509245377311
UA_mdSimSiam_Aug1_VMNone_ep50_BA128_v2,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug1_VMNone_ep50_BA128_v2\checkpoints-epoch=49-train_loss=-0.81.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug1_VMNone_ep50_BA128_v2\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug1_VMNone_ep50_BA128_v2\UA_mdSimSiam_Aug1_VMNone_ep50_BA128_v2.csv,0.49725137431284355,0.8375812093953023,0.4975361853790634,0.495752123938031
UA_mdSimSiam_Aug2_VMmean_n_ep50_BA128_v4,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug2_VMmean_n_ep50_BA128_v4\checkpoints-epoch=49-train_loss=-0.94.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug2_VMmean_n_ep50_BA128_v4\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug2_VMmean_n_ep50_BA128_v4\UA_mdSimSiam_Aug2_VMmean_n_ep50_BA128_v4.csv,0.511744127936032,0.8290854572713643,0.510745311157829,0.47426286856571714
UA_mdSimSiam_Aug2_VMNone_ep50_BA128_v2,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug2_VMNone_ep50_BA128_v2\checkpoints-epoch=49-train_loss=-0.87.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug2_VMNone_ep50_BA128_v2\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug2_VMNone_ep50_BA128_v2\UA_mdSimSiam_Aug2_VMNone_ep50_BA128_v2.csv,0.3698150924537731,0.7296351824087957,0.37131410010980076,0.3473263368315842
UA_mdSimSiam_Aug3_VMmean_n_ep50_BA128_v4,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug3_VMmean_n_ep50_BA128_v4\checkpoints-epoch=49-train_loss=-0.94.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug3_VMmean_n_ep50_BA128_v4\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug3_VMmean_n_ep50_BA128_v4\UA_mdSimSiam_Aug3_VMmean_n_ep50_BA128_v4.csv,0.48375812093953025,0.8185907046476761,0.48425538014938396,0.47176411794102946
UA_mdSimSiam_Aug3_VMNone_ep50_BA128_v2,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug3_VMNone_ep50_BA128_v2\checkpoints-epoch=49-train_loss=-0.87.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug3_VMNone_ep50_BA128_v2\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug3_VMNone_ep50_BA128_v2\UA_mdSimSiam_Aug3_VMNone_ep50_BA128_v2.csv,0.40929535232383807,0.7501249375312344,0.40500752464439377,0.38980509745127434
UA_mdSimSiam_Aug4_VMmean_n_ep50_BA128_v4,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug4_VMmean_n_ep50_BA128_v4\checkpoints-epoch=49-train_loss=-0.95.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug4_VMmean_n_ep50_BA128_v4\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug4_VMmean_n_ep50_BA128_v4\UA_mdSimSiam_Aug4_VMmean_n_ep50_BA128_v4.csv,0.4927536231884058,0.8120939530234883,0.4916335586423205,0.44627686156921537
UA_mdSimSiam_Aug4_VMNone_ep50_BA128_v2,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug4_VMNone_ep50_BA128_v2\checkpoints-epoch=49-train_loss=-0.88.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug4_VMNone_ep50_BA128_v2\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug4_VMNone_ep50_BA128_v2\UA_mdSimSiam_Aug4_VMNone_ep50_BA128_v2.csv,0.4172913543228386,0.7691154422788605,0.41438965383333376,0.39980009995002497
UA_mdSimSiam_Aug5_VMmean_n_ep50_BA128_v4,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug5_VMmean_n_ep50_BA128_v4\checkpoints-epoch=49-train_loss=-0.90.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug5_VMmean_n_ep50_BA128_v4\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug5_VMmean_n_ep50_BA128_v4\UA_mdSimSiam_Aug5_VMmean_n_ep50_BA128_v4.csv,0.6021989005497251,0.8885557221389305,0.6014313587584386,0.5712143928035982
UA_mdSimSiam_Aug5_VMNone_ep50_BA128_v2,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug5_VMNone_ep50_BA128_v2\checkpoints-epoch=49-train_loss=-0.84.ckpt,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug5_VMNone_ep50_BA128_v2\config.yaml,experiment_checkpoints/Magic_cube\UA_mdSimSiam_Aug5_VMNone_ep50_BA128_v2\UA_mdSimSiam_Aug5_VMNone_ep50_BA128_v2.csv,0.45077461269365315,0.7976011994002998,0.44561181135491623,0.4302848575712144
