step,epoch
20,0
41,0
62,1
83,1
104,2
125,2
146,3
167,3
188,4
209,4
214,4
230,5
251,5
272,6
293,6
314,7
335,7
356,8
377,8
398,9
419,9
429,9
440,10
461,10
482,11
503,11
524,12
545,12
566,13
587,13
608,14
629,14
644,14
650,15
671,15
692,16
713,16
734,17
755,17
776,18
797,18
818,19
839,19
859,19
860,20
881,20
902,20
923,21
944,21
965,22
986,22
1007,23
1028,23
1049,24
1070,24
1074,24
1091,25
1112,25
1133,26
1154,26
1175,27
1196,27
1217,28
1238,28
1259,29
1280,29
1289,29
1301,30
1322,30
1343,31
1364,31
1385,32
1406,32
1427,33
1448,33
1469,34
1490,34
1504,34
1511,35
1532,35
1553,36
1574,36
1595,37
1616,37
1637,38
1658,38
1679,39
1700,39
1719,39
1721,40
1742,40
1763,41
1784,41
1805,41
1826,42
1847,42
1868,43
1889,43
1910,44
1931,44
1934,44
1952,45
1973,45
1994,46
2015,46
2036,47
2057,47
2078,48
2099,48
2120,49
2141,49
2149,49
2162,50
2183,50
2204,51
2225,51
2246,52
2267,52
2288,53
2309,53
2330,54
2351,54
2364,54
2372,55
2393,55
2414,56
2435,56
2456,57
2477,57
2498,58
2519,58
2540,59
2561,59
2579,59
2582,60
2603,60
2624,61
2645,61
2666,62
2687,62
2708,62
2729,63
2750,63
2771,64
2792,64
2794,64
2813,65
2834,65
2855,66
2876,66
2897,67
2918,67
2939,68
2960,68
2981,69
3002,69
3009,69
3023,70
3044,70
3065,71
3086,71
3107,72
3128,72
3149,73
3170,73
3191,74
3212,74
3224,74
3233,75
3254,75
3275,76
3296,76
3317,77
3338,77
3359,78
3380,78
3401,79
3422,79
3439,79
3443,80
3464,80
3485,81
3506,81
3527,82
3548,82
3569,83
3590,83
3611,83
3632,84
3653,84
3654,84
3674,85
3695,85
3716,86
3737,86
3758,87
3779,87
3800,88
3821,88
3842,89
3863,89
3869,89
3884,90
3905,90
3926,91
3947,91
3968,92
3989,92
4010,93
4031,93
4052,94
4073,94
4084,94
4094,95
4115,95
4136,96
4157,96
4178,97
4199,97
4220,98
4241,98
4262,99
4283,99
4299,99
