step,Cov_batch_ik_01
49,0.31767064332962036
99,0.37696516513824463
149,0.06148276478052139
199,0.0810013860464096
249,0.10020875185728073
299,0.1440063714981079
349,0.20078125596046448
399,0.22937634587287903
449,0.09848811477422714
499,0.07134518027305603
549,0.09296220541000366
599,0.08482952415943146
649,0.12340634316205978
699,0.12701714038848877
749,0.04921184480190277
799,0.09254701435565948
849,0.0678383857011795
899,0.029440369457006454
949,0.05319783836603165
999,0.05415390059351921
1049,0.01961662620306015
1099,0.03831980749964714
1149,0.025425907224416733
1199,0.030282415449619293
1249,0.027110785245895386
1299,0.02583274617791176
1349,0.016698239371180534
1399,0.016693396493792534
1449,0.012863777577877045
1499,0.013418730348348618
1549,0.010201850906014442
1599,0.011281339451670647
1649,0.009323401376605034
1699,0.007644563913345337
1749,0.006715876050293446
1799,0.006704851984977722
1849,0.005111614242196083
1899,0.005719391629099846
1949,0.006375344470143318
1999,0.005382775794714689
2049,0.004877815023064613
2099,0.003924282267689705
2149,0.0034328442998230457
2199,0.003236364107578993
2249,0.0032024113461375237
2299,0.002713888417929411
2349,0.0023381917271763086
2399,0.0018730403389781713
2449,0.001999835716560483
2499,0.0017302930355072021
2549,0.0016685687005519867
2599,0.0014449306763708591
2649,0.0013517031911760569
2699,0.0010564806871116161
2749,0.0010777775896713138
2799,0.0009719103691168129
2849,0.0009203820372931659
2899,0.0007923362427391112
2949,0.0007334258989430964
2999,0.0006925290217623115
3049,0.0005917326780036092
3099,0.0005262019694782794
3149,0.000504762982018292
3199,0.0004682297876570374
3249,0.0004093024763278663
3299,0.000366699299775064
3349,0.0003760865656659007
3399,0.0003369445039425045
3449,0.0003203187952749431
3499,0.000217343564145267
3549,0.0002629751688800752
3599,0.0002230176905868575
3649,0.00019685752340592444
3699,0.0001762338652042672
3749,0.00016715761739760637
3799,0.00016154273180291057
3849,0.00014864090189803392
3899,0.0001404793292749673
3949,0.0001190380789921619
3999,0.00010750217916211113
4049,0.00010793988622026518
4099,9.4809707661625e-05
4149,9.415142994839698e-05
4199,8.58393614180386e-05
4249,8.41034488985315e-05
4299,6.96920178597793e-05
4349,6.553974526468664e-05
4399,6.507995567517355e-05
4449,5.891908585908823e-05
4499,4.931121657136828e-05
4549,5.1391929446253926e-05
4599,4.388150409795344e-05
4649,4.331931268097833e-05
4699,4.044529123348184e-05
4749,3.7866877391934395e-05
4799,3.334677603561431e-05
4849,3.206985638826154e-05
4899,3.122838825220242e-05
4949,2.695463626878336e-05
4999,2.5132478185696527e-05
5049,2.6673191314330325e-05
5099,2.43936046899762e-05
5149,2.3796870664227754e-05
5199,2.0878684154013172e-05
5249,2.079623482131865e-05
5299,1.9085835447185673e-05
5349,1.7460792150814086e-05
5399,1.694551610853523e-05
5449,1.487446206738241e-05
5499,1.598751259734854e-05
5549,1.3713346561416984e-05
5599,1.3109584870107938e-05
5649,1.1791506949521136e-05
5699,1.2541011528810486e-05
5749,1.1896438081748784e-05
5799,1.1500563232402783e-05
5849,9.75320926954737e-06
5899,1.072344821295701e-05
5949,1.0239896255370695e-05
5999,9.464835784456227e-06
6049,8.2789938460337e-06
6099,8.06504613137804e-06
6149,7.89163004810689e-06
6199,7.445782102877274e-06
6249,7.256488970597275e-06
6299,6.970774393266765e-06
6349,6.442727681132965e-06
6399,6.6405673351255246e-06
6449,5.84278859605547e-06
6499,6.146184659883147e-06
6549,5.787176633020863e-06
6599,5.500406132341595e-06
6649,5.488504939421546e-06
6699,4.975775937055005e-06
6749,5.2131681513856165e-06
6799,4.742534656543285e-06
6849,4.687274667958263e-06
6899,4.657465979107656e-06
6949,4.2056904021592345e-06
6999,4.210355655231979e-06
7049,3.926644239982124e-06
7099,4.016704224341083e-06
7149,3.8991556721157394e-06
7199,4.085493856109679e-06
7249,3.6635881315305596e-06
7299,3.467466967777e-06
7349,3.449528321652906e-06
7399,3.516761353239417e-06
7449,3.2415337045677006e-06
7499,3.250338295401889e-06
7549,3.4046793189190794e-06
7599,3.150810016450123e-06
7649,3.0256940135586774e-06
7699,2.904124812630471e-06
7749,3.184408342349343e-06
7799,2.861531811504392e-06
7849,2.8152639970357995e-06
7899,2.806634256558027e-06
7949,2.709419050006545e-06
7999,2.7533851607586257e-06
8049,2.7441569727670867e-06
8099,2.484379365341738e-06
8149,2.5332183213322423e-06
8199,2.5413548883079784e-06
8249,2.565847808000399e-06
8299,2.39791597778094e-06
8349,2.3310274173127254e-06
8399,2.429343339827028e-06
8449,2.4643213691888377e-06
8499,2.4360144834645325e-06
8549,2.300700771229458e-06
8599,2.4054561436059885e-06
8649,2.1614032448269427e-06
8699,2.285102254973026e-06
8749,2.201052893724409e-06
8799,2.484294327587122e-06
8849,2.2715221348335035e-06
8899,2.26757288146473e-06
8949,2.0938464331266005e-06
8999,2.1699192984669935e-06
9049,2.3391125978378113e-06
9099,2.3339607650996186e-06
9149,2.2913229713594774e-06
9199,2.204671091021737e-06
9249,2.1815246782352915e-06
9299,2.1500686671060976e-06
9349,2.176121597585734e-06
9399,2.28087219511508e-06
9449,2.15567956729501e-06
9499,2.214799451394356e-06
9549,2.0789075279026292e-06
9599,2.256278321510763e-06
9649,2.2156270915729692e-06
9699,2.201260258516413e-06
9749,2.100331357723917e-06
