step,train_loss
49,-0.470512688
99,-0.579717278
149,-0.601420045
199,-0.590858877
249,-0.610243917
299,-0.620742083
349,-0.620469332
399,-0.632521868
449,-0.624559641
499,-0.640456498
549,-0.638886094
599,-0.633038521
649,-0.631336093
699,-0.631700873
749,-0.621432126
799,-0.626924992
849,-0.64681232
899,-0.635172725
949,-0.641108572
999,-0.622827888
1049,-0.622646689
1099,-0.619275451
1149,-0.617447436
1199,-0.636388302
1249,-0.648419023
1299,-0.643772364
1349,-0.633369565
1399,-0.645703793
1449,-0.630408764
1499,-0.634058177
1549,-0.613881707
1599,-0.615757644
1649,-0.620743692
1699,-0.602638245
1749,-0.612121642
1799,-0.623718858
1849,-0.614941716
1899,-0.6215536
1949,-0.632097244
1999,-0.610096335
2049,-0.621853232
2099,-0.636706829
2149,-0.65172708
2199,-0.641039729
2249,-0.618236303
2299,-0.642464161
2349,-0.63219732
2399,-0.608985722
2449,-0.638541698
2499,-0.636816859
2549,-0.626937509
2599,-0.609608531
2649,-0.611217499
2699,-0.636125207
2749,-0.610774577
2799,-0.644850791
2849,-0.625066042
2899,-0.621966124
2949,-0.622452736
2999,-0.623222709
3049,-0.630218983
3099,-0.637377024
3149,-0.637006998
3199,-0.638696611
3249,-0.617852032
3299,-0.635858655
3349,-0.650175929
3399,-0.637677193
3449,-0.61985147
3499,-0.625421882
3549,-0.633186221
3599,-0.640374422
3649,-0.637460828
3699,-0.627282381
3749,-0.624843001
3799,-0.64801687
3849,-0.612594724
3899,-0.621520281
3949,-0.635064483
3999,-0.620996058
4049,-0.639550209
4099,-0.647656083
4149,-0.632791519
4199,-0.626418829
4249,-0.632233858
4299,-0.628936529
4349,-0.639335155
4399,-0.623896241
4449,-0.632504046
4499,-0.629297912
4549,-0.632884204
4599,-0.615570545
4649,-0.648242116
4699,-0.642303169
4749,-0.640419483
4799,-0.633108735
4849,-0.641354978
4899,-0.637617469
4949,-0.633721411
4999,-0.639652908
5049,-0.638356566
5099,-0.647003293
5149,-0.640070081
5199,-0.642452419
5249,-0.649095535
5299,-0.640071452
5349,-0.629267573
5399,-0.637398899
5449,-0.626439154
5499,-0.642534375
5549,-0.617482245
5599,-0.639388263
5649,-0.640501738
5699,-0.647253931
5749,-0.639382958
5799,-0.639520407
5849,-0.635212004
5899,-0.638011336
5949,-0.639088392
5999,-0.643676877
6049,-0.640211523
6099,-0.642334223
6149,-0.636439681
6199,-0.644520998
6249,-0.632283509
6299,-0.653505266
6349,-0.639281452
6399,-0.636180997
6449,-0.637699008
6499,-0.640698493
6549,-0.635034382
6599,-0.638427258
6649,-0.646440506
6699,-0.646980405
6749,-0.632242799
6799,-0.647670567
6849,-0.638969898
6899,-0.642329931
6949,-0.642032743
6999,-0.633826673
7049,-0.640216053
7099,-0.649532378
7149,-0.636762738
7199,-0.637238562
7249,-0.641079545
7299,-0.631777763
7349,-0.635583937
7399,-0.639386296
7449,-0.648973465
7499,-0.645662665
7549,-0.647035956
7599,-0.632441461
7649,-0.643394828
7699,-0.645749509
7749,-0.650221467
7799,-0.631446838
7849,-0.6340065
7899,-0.643521845
7949,-0.645492554
7999,-0.636705637
8049,-0.645335436
8099,-0.650843203
8149,-0.630709648
8199,-0.645655036
8249,-0.634258389
8299,-0.640469074
8349,-0.639370918
8399,-0.630713105
8449,-0.643840909
8499,-0.641628265
8549,-0.645003855
8599,-0.646532476
8649,-0.649774194
8699,-0.631212354
8749,-0.647338569
8799,-0.638139725
8849,-0.647954881
8899,-0.633210242
8949,-0.6566782
8999,-0.640008092
9049,-0.65086484
9099,-0.63471657
9149,-0.642309844
9199,-0.655313253
9249,-0.655023336
9299,-0.63808614
9349,-0.650977492
9399,-0.648956358
9449,-0.637785792
9499,-0.650272787
9549,-0.635285318
9599,-0.650163174
9649,-0.649493396
9699,-0.644212186
9749,-0.643162727
9799,-0.653272152
9849,-0.639081955
9899,-0.63488543
9949,-0.644850731
9999,-0.64491415
10049,-0.649841905
10099,-0.636923194
10149,-0.639738083
10199,-0.657651126
10249,-0.656114399
10299,-0.656717002
10349,-0.648366868
10399,-0.652816772
10449,-0.653956413
10499,-0.644570351
10549,-0.641278386
10599,-0.64109385
10649,-0.653675914
10699,-0.65376997
10749,-0.649239361
10799,-0.657003999
10849,-0.646615624
10899,-0.651693761
10949,-0.65293777
10999,-0.651657999
11049,-0.646538019
11099,-0.66232729
11149,-0.653091192
11199,-0.656566501
11249,-0.653072238
11299,-0.655058742
11349,-0.659815192
11399,-0.658503234
11449,-0.642359912
11499,-0.647473693
11549,-0.652911305
11599,-0.660432577
11649,-0.643111825
11699,-0.652369976
11749,-0.643510342
11799,-0.655303895
11849,-0.649834454
11899,-0.656742334
11949,-0.653618932
11999,-0.647256672
12049,-0.650213122
12099,-0.663335621
12149,-0.657438159
12199,-0.644873857
12249,-0.654707313
12299,-0.658397675
12349,-0.648365378
12399,-0.659361541
12449,-0.657461822
12499,-0.652431905
